arrival_id,date,mandi_id,crop_name,variety,arrival_quantity,unit,farmer_count,quantity_numeric,arrival_quantity_qtl,quantity_quality,mandi_name,district,state,mandi_type
ARR0012424,2026-06-04,MANDI026,Wheat,Hybrid,44.841,TONNE,128.0,44.84,448.4,VALID,Tadipatri Mandi,Hisar,Haryana,Private
ARR0008271,2026-06-02,MANDI014,Wheat,HD-2967,332.54,QTL,33.0,332.54,332.54,VALID,Bathinda Grain Market,Patiala,Punjab,Private
ARR0022724,2026-08-16,MANDI056,Wheat,HD-2967,415.88 qtl,QTL,,415.88,415.88,VALID,Bilaspur Mandi,Bareilly,Uttar Pradesh,Private
ARR0013701,2026-03-31,MANDI049,Sugarcane,Local,119.93,QTL,105.0,119.93,119.93,VALID,Machilipatnam Mandi,Muzaffarnagar,Uttar Pradesh,Private
ARR0010753,2026-07-10,MANDI054,Cotton,HD-2967,187.68,QTL,45.0,187.68,187.68,VALID,Nangloi Jat Grain Market,Saharanpur,,Direct
ARR0022123,2026-07-15,MANDI045,Mustard,Hybrid,393.67 qtl,QTL,24.0,393.67,393.67,VALID,Farrukhabad Mandi,Meerut,Uttar Pradesh,Private
ARR0003275,2026-04-08,MANDI029,Mustard,PBW-343,14.84,QTL,129.0,14.84,14.84,VALID,Asansol Grain Market,Sirsa,Haryana,Direct
ARR0002542,2026-08-14,MANDI010,Mustard,Pusa-1121,93.28,QTL,109.0,93.28,93.28,VALID,Dhule APMC,Jalandhar,Punjab,Direct
ARR0016719,2026-05-25,MANDI044,Maize,PBW-343,3.8369999999999997,TONNE,80.0,3.84,38.4,VALID,Dehri Mandi,Agra,Uttar Pradesh,APMC
ARR0019527,2026-08-02,MANDI042,Maize,HD-2967,17077.0,KG,26.0,17077.0,170.77,VALID,Erode Mandi,Fatehabad,Haryana,Private
ARR0009636,2026-03-31,MANDI056,Maize,HD-2967,37.3,QTL,,37.3,37.3,VALID,Bilaspur Mandi,Bareilly,Uttar Pradesh,Private
ARR0010366,2026-01-16,MANDI011,Sugarcane,Pusa-1121,44.83,QTL,65.0,44.83,44.83,VALID,Arrah Mandi,Patiala,Punjab,Unknown
ARR0005837,2026-06-27,MANDI025,Wheat,,45.474000000000004,TONNE,,45.47,454.7,VALID,Dindigul APMC,Karnal,Haryana,APMC
ARR0002387,2026-01-18,MANDI050,Sugarcane,HD-2967,1518.0,KG,,1518.0,15.18,VALID,Durg Market,Muzaffarnagar,Uttar Pradesh,Unknown
ARR0024112,2026-08-09,MANDI006,Mustard,,34.63,QTL,102.0,34.63,34.63,VALID,Kochi Mandi,Amritsar,Punjab,Direct
ARR0010546,2026-01-09,MANDI039,Wheat,,41.577,TONNE,139.0,41.58,415.8,VALID,Anand Grain Market,,Haryana,APMC
ARR0002154,2026-03-20,MANDI001,Basmati,HD-2967,39646.0,KG,61.0,39646.0,396.46,VALID,Hyderabad Mandi,Ludhiana,Punjab,Private
ARR0020380,2026-06-03,MANDI028,Mustard,Pusa-1121,99.87,QTL,,99.87,99.87,VALID,Machilipatnam APMC,Hisar,Haryana,Unknown
ARR0021641,2026-08-15,MANDI045,Mustard,HD-2967,39119.0,KG,41.0,39119.0,391.19,VALID,Farrukhabad Mandi,Meerut,Uttar Pradesh,Private
ARR0004098,2026-03-25,MANDI027,Cotton,Pusa-1121,111.01,QTL,137.0,111.01,111.01,VALID,Kochi APMC,Hisar,Haryana,APMC
ARR_MISSING_00001,2026-06-18,MANDI026,Maize,Pusa-1121,264.38,QTL,96.0,264.38,264.38,VALID,Tadipatri Mandi,Hisar,Haryana,Private
ARR0006088,2026-08-12,MANDI019,Sugarcane,HD-2967,373.93,QTL,121.0,373.93,373.93,VALID,Karimnagar Grain Market,Moga,Punjab,Private
ARR0021143,2026-04-30,MANDI024,Mustard,Premium,7048.999999999999,KG,7.0,7049.0,70.49,VALID,Jaipur Mandi,Karnal,Haryana,APMC
ARR0019959,2026-08-21,MANDI022,Maize,PBW-343,38.343,TONNE,85.0,38.34,383.4,VALID,Eluru APMC,Karnal,Haryana,Unknown
ARR0001442,2026-05-31,MANDI044,Rice,Local,113.89,QTL,97.0,113.89,113.89,VALID,Dehri Mandi,Agra,Uttar Pradesh,APMC
ARR0004480,2026-04-08,MANDI045,Wheat,Local,15910.0,KG,102.0,15910.0,159.1,VALID,Farrukhabad Mandi,Meerut,Uttar Pradesh,Private
ARR0021197,2026-08-28,MANDI021,Sugarcane,Hybrid,197.48,QTL,,197.48,197.48,VALID,Guna Mandi,Ferozepur,Punjab,APMC
ARR0020628,2026-06-12,MANDI012,Sugarcane,PBW-343,35053.0,UNKNOWN,71.0,35053.0,,UNKNOWN_UNIT,Gaya Grain Market,Patiala,Punjab,Unknown
ARR0001665,2026-07-30,MANDI055,Rice,Local,406.67,QTL,,406.67,406.67,VALID,Chandigarh APMC,Bareilly,Uttar Pradesh,APMC
ARR0002938,2026-07-04,MANDI016,Wheat,,162.36,QTL,114.0,162.36,162.36,VALID,Kulti APMC,Bathinda,Punjab,Unknown
ARR0019350,2026-03-25,MANDI001,Wheat,Premium,19.073,TONNE,,19.07,190.7,VALID,Hyderabad Mandi,Ludhiana,Punjab,Private
ARR0020205,2026-07-05,MANDI037,Maize,Hybrid,7347.0,KG,17.0,7347.0,73.47,VALID,Jorhat Grain Market,Kurukshetra,Haryana,APMC
ARR0015292,2026-07-15,MANDI037,Wheat,PBW-343,"36,654.0 KG",KG,53.0,36654.0,366.54,VALID,Jorhat Grain Market,Kurukshetra,Haryana,APMC
ARR0019616,2026-04-10,MANDI008,Maize,Hybrid,82.61,QTL,,82.61,82.61,VALID,Bijapur Market,Amritsar,Punjab,APMC
ARR0022884,2026-05-12,MANDI047,Maize,,194.32,QTL,33.0,194.32,194.32,VALID,Orai Market,Muzaffarnagar,Uttar Pradesh,APMC
