trip_id,mandi_id,destination_warehouse,departure_time,arrival_time,transit_hours,distance,distance_unit,vehicle_no,driver_id,distance_km,departure_datetime,arrival_datetime,transit_hours_final,transit_hours_imputed,vehicle_no_raw,vehicle_no_clean,mandi_id_raw,mandi_name,district,state,mandi_type
TRP006374,MANDI050,WH-Central,2026-04-30T20:08:22,01/05/2026 05:26,9.3,305.714532,miles,,DRV264,492.0,2026-04-30 20:08:22,2026-05-01 05:26:00,9.3,False,,,MANDI050,Durg Market,Muzaffarnagar,Uttar Pradesh,Unknown
TRP008869,MANDI029,WH-West,04-10-2026 04:15 AM,10/04/2026 09:51,,263.5,km,,DRV540,263.5,2026-04-10 04:15:00,2026-04-10 09:51:00,5.6,True,,,MANDI029,Asansol Grain Market,Sirsa,Haryana,Direct
TRP000674,MANDI024,WH-South,18/07/2026 16:34,07-18-2026 10:46 PM,6.2,276.5,km,UP 50 BC 6882,DRV722,276.5,2026-07-18 16:34:00,2026-07-18 22:46:00,6.2,False,UP 50 BC 6882,UP50BC6882,MANDI024,Jaipur Mandi,Karnal,Haryana,APMC
TRP000036,MANDI042,WH-Central,08-13-2026 06:21 AM,14/08/2026,19.7,1070.7,km,RJ-52-CD-3274,DRV103,1070.7,2026-08-13 06:21:00,2026-08-14 00:00:00,19.7,False,RJ-52-CD-3274,RJ52CD3274,MANDI-042,Erode Mandi,Fatehabad,Haryana,Private
TRP008288,MANDI019,WH-South,07-30-2026 10:51 PM,07-31-2026 03:57 PM,17.1,728.9,km,DL-73-DF-1458,,728.9,2026-07-30 22:51:00,2026-07-31 15:57:00,17.1,False,DL-73-DF-1458,DL73DF1458,mandi_019,Karimnagar Grain Market,Moga,Punjab,Private
TRP003456,MANDI038,Export-Terminal,07-25-2026 08:53 PM,,7.3,417.0,km,UP97-BC-6135,DRV255,417.0,2026-07-25 20:53:00,,7.3,False,UP97-BC-6135,UP97BC6135,038,Jalandhar Mandi,Kurukshetra,Haryana,Private
TRP005236,MANDI041,WH-West,2026-07-05 07:34:30,05/07/2026 22:28,14.9,671.9,km,PB-99-BC-2796,DRV297,671.9,2026-07-05 07:34:30,2026-07-05 22:28:00,14.9,False,PB-99-BC-2796,PB99BC2796,mandi041,Gurgaon Grain Market,Fatehabad,Haryana,APMC
TRP007075,MANDI023,WH-West,19/06/2026,2026-06-19T22:01:06,6.4,362.6,km,pb 48-DF-3590,,362.6,2026-06-19 00:00:00,2026-06-19 22:01:06,6.4,False,pb 48-DF-3590,PB48DF3590,023,Panihati APMC,Karnal,Haryana,Private
TRP002222,MANDI033,WH-North,02-May-2026 10:12:36,02/05/2026 22:12,12.0,549.5,km,DL55-BC-7556,DRV662,549.5,2026-05-02 10:12:36,2026-05-02 22:12:00,12.0,False,DL55-BC-7556,DL55BC7556,mandi_033,South Dumdum Grain Market,Ambala,Haryana,APMC
TRP004565,MANDI054,WH-West,05/09/2026 10:36,05/09/2026 20:00,9.4,424.8,km,PB 83 DF 2210,DRV201,424.8,2026-09-05 10:36:00,2026-09-05 20:00:00,9.4,False,PB 83 DF 2210,PB83DF2210,MANDI054,Nangloi Jat Grain Market,Saharanpur,,Direct
