sensor_id,timestamp,temperature,temp_unit,rainfall,rain_unit,humidity_percent,temperature_raw,temperature_numeric,temp_unit_clean,temperature_c,rainfall_raw,rain_unit_clean,rainfall_mm,timestamp_raw,timestamp_ist,date
SEN047,28/08/2026,68,f,43.8,mm,46.0,68,68.0,f,20.0,43.8,mm,43.8,28/08/2026,2026-08-28 00:00:00+05:30,2026-08-28
SEN034,2026-07-03 07:08:18 IST,85.3,°F,1.88,in,55.0,85.3,85.3,f,29.61,1.88,in,47.75,2026-07-03 07:08:18 IST,2026-07-03 07:08:18+05:30,2026-07-03
SEN020,,18.9,Celsius,19.9,MM,,18.9,18.9,c,18.9,19.9,mm,19.9,,,
SEN035,2026-07-09 11:08:41 UTC,71.8,Fahrenheit,0.91,inch,49.0,71.8,71.8,f,22.11,0.91,in,23.11,2026-07-09 11:08:41 UTC,2026-07-09 16:38:41+05:30,2026-07-09
SEN048,2026-06-09 13:06:26 IST,39.8°C,,43.9,mm,81.0,39.8°C,39.8,c,39.8,43.9,mm,43.9,2026-06-09 13:06:26 IST,2026-06-09 13:06:26+05:30,2026-06-09
SEN035,17/03/2026,21.8°C,,28.9,MM,47.0,21.8°C,21.8,c,21.8,28.9,mm,28.9,17/03/2026,2026-03-17 00:00:00+05:30,2026-03-17
SEN013,07-01-2026 05:48 PM,75,f,32.4,mm,43.0,75,75.0,f,23.89,32.4,mm,32.4,07-01-2026 05:48 PM,2026-07-01 17:48:00+05:30,2026-07-01
SEN040,2026-06-12 09:52:51 IST,92.5,°F,,,92.0,92.5,92.5,f,33.61,,,,2026-06-12 09:52:51 IST,2026-06-12 09:52:51+05:30,2026-06-12
SEN027,2026-06-02 16:00:04 UTC,22.1,°C,,mm,36.0,22.1,22.1,c,22.1,-48.1,mm,,2026-06-02 16:00:04 UTC,2026-06-02 21:30:04+05:30,2026-06-02
SEN034,,30.3°C,,,,51.0,30.3°C,30.3,c,30.3,,,,,,
SEN031,2026-08-23 07:42:11 IST,16.6,c,32.4,MM,38.0,16.6,16.6,c,16.6,32.4,mm,32.4,2026-08-23 07:42:11 IST,2026-08-23 07:42:11+05:30,2026-08-23
SEN045,2026-09-08 14:45:54 UTC,102.2,F,42.1,millimeters,41.0,102.2,102.2,f,39.0,42.1,mm,42.1,2026-09-08 14:45:54 UTC,2026-09-08 20:15:54+05:30,2026-09-08
SEN011,2026-03-25 23:52:33 UTC,29.9,C,16.2,millimeters,32.0,29.9,29.9,c,29.9,16.2,mm,16.2,2026-03-25 23:52:33 UTC,2026-03-26 05:22:33+05:30,2026-03-26
SEN004,08-27-2026 04:59 PM,66.9,f,42.3,mm,35.0,66.9,66.9,f,19.39,42.3,mm,42.3,08-27-2026 04:59 PM,2026-08-27 16:59:00+05:30,2026-08-27
SEN020,2026-02-02 07:59:44 IST,73.2,F,16.0,millimeters,,73.2,73.2,f,22.89,16.0,mm,16.0,2026-02-02 07:59:44 IST,2026-02-02 07:59:44+05:30,2026-02-02
SEN026,2026-03-21 12:06:58 UTC,102.4,Fahrenheit,13.7,millimeters,80.0,102.4,102.4,f,39.11,13.7,mm,13.7,2026-03-21 12:06:58 UTC,2026-03-21 17:36:58+05:30,2026-03-21
SEN020,2026-09-07 16:45:42 IST,67.6,f,,mm,39.0,67.6,67.6,f,19.78,-42.0,mm,,2026-09-07 16:45:42 IST,2026-09-07 16:45:42+05:30,2026-09-07
SEN047,2026-04-09 17:24:04 UTC,29.8,°C,45.0,MM,53.0,29.8,29.8,c,29.8,45.0,mm,45.0,2026-04-09 17:24:04 UTC,2026-04-09 22:54:04+05:30,2026-04-09
SEN035,2026-08-30 05:45:31 IST,31.8°C,,,mm,52.0,31.8°C,31.8,c,31.8,-7.3,mm,,2026-08-30 05:45:31 IST,2026-08-30 05:45:31+05:30,2026-08-30
UNKNOWN,2026-07-28T05:02:48,29.1,Celsius,34.3,millimeters,75.0,29.1,29.1,c,29.1,34.3,mm,34.3,2026-07-28T05:02:48,2026-07-28 05:02:48+05:30,2026-07-28
SEN032,2026-02-07 08:54:43 UTC,31.3,Celsius,6.2,mm,38.0,31.3,31.3,c,31.3,6.2,mm,6.2,2026-02-07 08:54:43 UTC,2026-02-07 14:24:43+05:30,2026-02-07
SEN046,2026-02-22 21:45:12 IST,30,Celsius,1.6,mm,86.0,30,30.0,c,30.0,1.6,mm,1.6,2026-02-22 21:45:12 IST,2026-02-22 21:45:12+05:30,2026-02-22
SEN021,2026-03-10T23:45:39,24.6°C,,,mm,80.0,24.6°C,24.6,c,24.6,-15.9,mm,,2026-03-10T23:45:39,2026-03-10 23:45:39+05:30,2026-03-10
SEN042,2026-04-02 05:04:58 IST,97.9,f,0.23,inches,63.0,97.9,97.9,f,36.61,0.23,in,5.84,2026-04-02 05:04:58 IST,2026-04-02 05:04:58+05:30,2026-04-02
SEN042,,60.3,F,,,89.0,60.3,60.3,f,15.72,,,,,,
SEN043,2026-03-01 15:38:44 UTC,37.8,C,,,44.0,37.8,37.8,c,37.8,,,,2026-03-01 15:38:44 UTC,2026-03-01 21:08:44+05:30,2026-03-01
SEN042,2026-07-07 09:27:47 IST,33.4,C,0.78,in,38.0,33.4,33.4,c,33.4,0.78,in,19.81,2026-07-07 09:27:47 IST,2026-07-07 09:27:47+05:30,2026-07-07
SEN013,2026-05-23 18:27:41 IST,28.3,°C,12.4,MM,56.0,28.3,28.3,c,28.3,12.4,mm,12.4,2026-05-23 18:27:41 IST,2026-05-23 18:27:41+05:30,2026-05-23
SEN021,2026-02-25 19:23:43 UTC,28.4°C,,32.5,MM,78.0,28.4°C,28.4,c,28.4,32.5,mm,32.5,2026-02-25 19:23:43 UTC,2026-02-26 00:53:43+05:30,2026-02-26
SEN049,2026-04-24 18:47:44 IST,33.6,°C,7.2,millimeters,80.0,33.6,33.6,c,33.6,7.2,mm,7.2,2026-04-24 18:47:44 IST,2026-04-24 18:47:44+05:30,2026-04-24
SEN006,2026-01-02 09:31:50 IST,21.7,°C,7.2,millimeters,82.0,21.7,21.7,c,21.7,7.2,mm,7.2,2026-01-02 09:31:50 IST,2026-01-02 09:31:50+05:30,2026-01-02
SEN041,,82.8,°F,,mm,33.0,82.8,82.8,f,28.22,-26.3,mm,,,,
SEN035,2026-05-05 03:28:20 UTC,37.6°C,,28.4,mm,48.0,37.6°C,37.6,c,37.6,28.4,mm,28.4,2026-05-05 03:28:20 UTC,2026-05-05 08:58:20+05:30,2026-05-05
SEN050,2026-02-09 18:25:06 IST,68.9,F,21.5,millimeters,40.0,68.9,68.9,f,20.5,21.5,mm,21.5,2026-02-09 18:25:06 IST,2026-02-09 18:25:06+05:30,2026-02-09
